name,source,gender,wikidata,type
"Emile en Dora Rommelaerestraat",wikidata,+,Q4502896;Q21638499,way
"Arnoldine van den Radestraat",wikidata,F,Q84859467,way
Astridlaan,wikidata,F,Q230238,way
"Christine D'haenstraat",wikidata,F,Q3224383,way
"Eleonora Verbekehof",wikidata,F,Q90413160,way
"Elisabeth Zorghestraat",wikidata,F,Q25711497,way
"Irma Anthierensstraat",wikidata,F,Q114841130,way
Isabellalaan,wikidata,F,Q469359,way
"Jeanine Behaeghelstraat",wikidata,F,Q72254543,way
"Jeanne De Beirstraat",wikidata,F,Q19587490,way
Katelijnevest,wikidata,F,Q179718,way
"Kathelijne Idestraat",wikidata,F,Q84858520,way
"Koningin Astridlaan",wikidata,F,Q230238,way
"Koningin Elisabethlaan",wikidata,F,Q235186,way
"Koningin Elisabethsquare",wikidata,F,Q235186,way
"Maaike Kerrebroeckstraat",wikidata,F,Q84857486,way
"Maaike Luuxstraat",wikidata,F,Q84858218,way
"Magda Cafmeyerstraat",wikidata,F,Q1990109,way
Magdalenastraat,wikidata,F,Q63070,way
"Margaretha van Oostenrijkstraat",wikidata,F,Q157100,way
"Marguerite Yourcenarstraat",wikidata,F,Q163118,way
"Maria Van Bourgondiëlaan",wikidata,F,Q157073,way
"Maria van Bourgondiëlaan",wikidata,F,Q157073,way
Mariastraat,wikidata,F,Q345,way
"Nieuwe Sint-Annadreef",wikidata,F,Q164294,way
Onze-Lieve-Vrouweader,wikidata,F,Q345,way
Onze-Lieve-Vrouwedreef,wikidata,F,Q345,way
"Oude Sint-Annadreef",wikidata,F,Q164294,way
"Petronilla van Outryvestraat",wikidata,F,Q48223900,way
"Prinses Lilianelaan",wikidata,F,Q234171,way
"Prinses Maria Christinalaan",wikidata,F,Q642899,way
"Prinses Paolalaan",wikidata,F,Q31129,way
"Simonne Danneelsstraat",wikidata,F,Q124015744,way
Sint-Annarei,wikidata,F,Q164294,way
Sint-Christianastraat,wikidata,F,Q113572232,way
Sint-Clarastraat,wikidata,F,Q191107,way
Sint-Godelievelaan,wikidata,F,Q461908,way
Sint-Katarinastraat,wikidata,F,Q179718,way
Sint-Walburgastraat,wikidata,F,Q160686,way
"Suzanne de Gieystraat",wikidata,F,Q17351327,way
"Achiel Van Ackerplein",wikidata,M,Q14997,way
"Admiraal Keyesplein",wikidata,M,Q333787,way
"Adriaan Willaertstraat",wikidata,M,Q312615,way
"Adriaan de Gerlachestraat",wikidata,M,Q336591,way
"Albert Dyserynckstraat",wikidata,M,Q2831142,way
"Albert Serreynstraat",wikidata,M,Q84960176,way
"Albrecht Rodenbachstraat",wikidata,M,Q2497011,way
"Alfons De Baeckestraat",wikidata,M,Q1980114,way
"Alfons Stynsstraat",wikidata,M,Q111628735,way
"Alfons Wybolaan",wikidata,M,Q100354638,way
"Amaat Vynckestraat",wikidata,M,Q3421496,way
"André Goossensstraat",wikidata,M,Q47074882,way
"Andreas Wydtsstraat",wikidata,M,Q81314563,way
"Antoon Jozef Witteryckstraat",wikidata,M,Q2360599,way
"Antoon Viaenestraat",wikidata,M,Q2072506,way
"Arthur Vierendeelweg",wikidata,M,Q1800802,way
"August Derrestraat",wikidata,M,Q84958220,way
"August Vermeylenstraat",wikidata,M,Q764378,way
Barbesaenstraat,wikidata,M,Q2541990,way
"Baron Joseph Ryelandtstraat",wikidata,M,Q1707941,way
"Baron Ruzettelaan",wikidata,M,Q2832059,way
"Baron de Serretstraat",wikidata,M,Q4425122,way
"Burgemeester Albin Van Renterghemstraat",wikidata,M,Q2001263,way
"Burgemeester de Croeserstraat",wikidata,M,Q2538277,way
"Carolus de Vischstraat",wikidata,M,Q1066616,way
"Cesar Gezellestraat",wikidata,M,Q2154331,way
"Collaert Mansionstraat",wikidata,M,Q2749736,way
