name,source,gender,wikidata,type
"'s Heer Boudewijnsburg",,,,way
's-Gravenstraat,,,,way
"'t Groeneveld",,,,way
"'t Groenhof",,,,way
"'t Hoge",,,,way
"'t Kloosterhof",,,,way
"'t Leitje",,,,way
"'t Pand",,,,way
"'t Speelhof",,,,way
"'t Veld",,,,way
"'t Zand",,,,relation+way
"'t Zweerd",,,,way
Aanborgersstraat,,,,way
Abdijbekepark,,,,way
Abdijbekestraat,,,,way
Abdijenroute,,,,way
Abelendreef,,,,way
Acaciapad,,,,way
Academiestraat,,,,way
"Albert II-laan",,,,way
"Alfred Ronsestraat",,,,way
Altebijstraat,,,,way
Altenastraat,,,,way
Amazonedreef,,,,way
Amazonestraat,,,,way
"André Van Wassenhovestraat",,,,way
Anjerstraat,,,,way
Ankerplein,,,,way
Annuntiatenstraat,,,,way
"Anselm de Boodtstraat",,,,way
"Antoinette Grosséstraat",,,,way
"Antonis de Rooverestraat",,,,way
"Antoon Verhulststraat",,,,way
"Antoon de Lensstraat",,,,way
"Antwerpse Heerweg",,,,way
Appelstraat,,,,way
Appelzakstraat,,,,way
Arendstraat,,,,way
Artemislaan,,,,way
Assebroeklaan,,,,way
Assestraat,,,,way
"August Bontestraat",,,,way
Autobaan,,,,way
"Avezoeta van Ackerestraat",,,,way
Avignonlaan,,,,way
Azalealaan,,,,way
Aziëstraat,,,,way
Azijnstraat,,,,way
Baanderheerstraat,,,,way
Babbaertstraat,,,,way
"Bachten Beukenbos",,,,way
Bakkersstraat,,,,way
Baliestraat,,,,way
Baljuwlaan,,,,way
Balkonrotonde,,,,way
Balsemboomstraat,,,,way
Balstraat,,,,way
Bapaumestraat,,,,way
Bargebrug,,,,way
Barlenhuisstraat,,,,way
"Baron De Maerelaan",,,,way
Barrierestraat,,,,way
Barthelsstraat,,,,way
Bataviastraat,,,,way
Beaucourtstraat,,,,way
Beaupréstraat,,,,way
Beeldenmakersstraat,,,,way
Beeweg,,,,way
Begijnhof,,,,way
Beisbroekdreef,,,,way
Berenwegel,,,,way
Bergjesbos,,,,way
Betferkerklaan,,,,way
Beukemarestraat,,,,way
Beukenboslaan,,,,way
Beukendreef,,,,way
Beukenlaan,,,,way
Beursplein,,,,way
Beverhoutstraat,,,,way
Bevrijdingslaan,,,,way
Biddersstraat,,,,way
Biezenbos,,,,way
Biezenstraat,,,,way
Bilkske,,,,way
Binnenhof,,,,way
Binnenweg,,,,way
Biskajersplein,,,,way
Bisschopsdreef,,,,way
"Blauwe Poort",,,,way
Blauwe-Torenstraat,,,,way
Blauwetorenstraat,,,,way
Blauwezaalhoek,,,,way
Blauwhuisstraat,,,,way
Blauwkasteelweg,,,,way
Blekersstraat,,,,way
Blekkaard,,,,way
Blijdenburg,,,,way
Blinde-Ezelstraat,,,,way
Bloemendalestraat,,,,way
Bloemenstraat,,,,way
Blokschepenstraat,,,,way
Blokstraat,,,,way
Boekhoutestraat,,,,way
Boeveriestraat,,,,way
Bollaardstraat,,,,way
Bommelbekestraat,,,,way
Bonifaciusbrug,,,,way
